Date,Price,Open,High,Low,Volume,Chg%
"Nov 27, 2022",21.293,21.395,21.41,21.285,0,-1.46%
"Nov 25, 2022",21.609,21.785,21.88,21.355,30.82K,0.47%
"Nov 24, 2022",21.508,21.637,21.73,21.488,0,-0.08%
"Nov 23, 2022",21.526,21.26,21.78,21.095,20.92K,1.40%
"Nov 22, 2022",21.229,21.05,21.555,21.05,22.91K,1.71%
"Nov 21, 2022",20.872,20.985,21.04,20.6,49.27K,-0.72%
"Nov 20, 2022",21.023,21.055,21.055,20.975,0,0.12%
"Nov 18, 2022",20.997,21.02,21.325,20.87,45.48K,0.10%
"Nov 17, 2022",20.975,21.505,21.535,20.785,68.30K,-2.55%
"Nov 16, 2022",21.524,21.63,22.155,21.455,71.72K,0.03%
"Nov 15, 2022",21.518,22.065,22.38,21.45,94.52K,-2.69%
"Nov 14, 2022",22.113,21.77,22.19,21.37,63.15K,1.98%
"Nov 13, 2022",21.683,21.785,21.785,21.63,0,0.07%
"Nov 11, 2022",21.667,21.77,22.16,21.355,77.86K,-0.16%
"Nov 10, 2022",21.702,21.115,21.94,21.045,92.92K,1.76%
"Nov 09, 2022",21.327,21.425,21.695,21.055,80.56K,-0.81%
"Nov 08, 2022",21.502,20.85,21.72,20.57,95.95K,2.79%
"Nov 07, 2022",20.919,20.57,21.08,20.435,76.41K,0.00%
"Nov 06, 2022",20.919,20.57,21.08,20.435,68.48K,0.65%
"Nov 04, 2022",20.784,19.5,20.965,19.425,112.10K,6.97%
"Nov 03, 2022",19.43,19.23,19.555,18.805,71.23K,-0.84%
"Nov 02, 2022",19.594,19.635,20.11,19.2,63.23K,-0.37%
"Nov 01, 2022",19.667,19.11,20.04,19.085,74.28K,2.87%
"Oct 31, 2022",19.119,19.2,19.225,18.865,35.79K,-0.15%
"Oct 28, 2022",19.147,19.565,19.62,18.95,50.43K,-1.78%
"Oct 27, 2022",19.494,19.555,19.66,19.255,58.01K,0.04%
"Oct 26, 2022",19.486,19.325,19.765,19.18,55.63K,0.71%
"Oct 25, 2022",19.349,19.195,19.41,18.74,54.44K,0.83%
"Oct 24, 2022",19.189,19.395,19.675,18.985,61.36K,0.65%
"Oct 21, 2022",19.066,18.625,19.405,18.205,85.07K,2.02%
"Oct 20, 2022",18.689,18.405,18.96,18.15,57.78K,1.80%
"Oct 19, 2022",18.359,18.685,18.755,18.305,36.44K,-1.30%
"Oct 18, 2022",18.6,18.625,18.865,18.49,39.82K,-0.64%
"Oct 17, 2022",18.719,18.16,18.89,18.155,52.19K,3.59%
"Oct 14, 2022",18.071,18.865,19.055,18.01,69.61K,-4.48%
"Oct 13, 2022",18.918,19.01,19.29,18.41,73.30K,-0.11%
"Oct 12, 2022",18.938,19.175,19.31,18.84,57.22K,-2.82%
"Oct 11, 2022",19.487,19.63,19.725,19.05,60.40K,-0.65%
"Oct 10, 2022",19.615,20.185,20.21,19.525,59.20K,-3.16%
"Oct 07, 2022",20.255,20.71,20.875,20.02,60.63K,-1.96%
"Oct 06, 2022",20.66,20.75,20.93,20.4,49.26K,0.56%
"Oct 05, 2022",20.544,21.12,21.135,19.985,80.04K,-2.63%
"Oct 04, 2022",21.099,20.745,21.31,20.68,73.44K,2.48%
"Oct 03, 2022",20.589,18.995,20.78,18.98,98.66K,8.14%
"Sep 30, 2022",19.039,18.81,19.3,18.745,53.86K,1.75%
"Sep 29, 2022",18.712,18.91,18.915,18.465,59.25K,-0.89%
"Sep 28, 2022",18.88,18.365,18.965,17.895,83.80K,2.96%
"Sep 27, 2022",18.337,18.35,18.785,18.295,63.09K,-0.77%
"Sep 26, 2022",18.48,18.85,19.045,18.31,81.81K,-2.27%
"Sep 23, 2022",18.91,19.66,19.745,18.76,82.52K,-3.60%
"Sep 22, 2022",19.617,19.645,19.89,19.25,63.37K,0.70%
"Sep 21, 2022",19.48,19.265,19.96,19.23,70.73K,1.55%
"Sep 20, 2022",19.183,19.595,19.605,19.07,42.27K,-0.90%
"Sep 19, 2022",19.358,19.6,19.69,19.235,44.27K,-0.12%
"Sep 16, 2022",19.381,19.175,19.64,18.77,58.15K,0.58%
"Sep 15, 2022",19.269,19.6,19.625,19.11,50.66K,-1.53%
"Sep 14, 2022",19.569,19.3,19.685,19.215,47.43K,0.40%
"Sep 13, 2022",19.491,19.785,19.93,19.295,76.43K,-1.86%
"Sep 12, 2022",19.86,18.815,20.005,18.775,82.32K,5.82%
"Sep 09, 2022",18.767,18.45,18.86,18.445,43.86K,1.76%
"Sep 08, 2022",18.442,18.395,18.665,18.24,53.20K,1.00%
"Sep 07, 2022",18.26,17.905,18.4,17.74,49.64K,1.97%
"Sep 05, 2022",17.908,17.94,18.465,17.815,73.96K,0.15%
"Sep 02, 2022",17.881,17.665,18.165,17.62,62.96K,1.22%
"Sep 01, 2022",17.666,17.85,17.865,17.4,66.96K,-1.21%
"Aug 31, 2022",17.882,18.29,18.39,17.8,63.46K,-2.21%
"Aug 30, 2022",18.287,18.675,18.7,18.225,58.00K,-1.45%
"Aug 29, 2022",18.557,18.77,18.77,18.3,33.39K,-1.01%
"Aug 26, 2022",18.746,19.13,19.345,18.68,53.72K,-1.96%
"Aug 25, 2022",19.12,18.995,19.26,18.955,46.31K,1.13%
"Aug 24, 2022",18.907,19.02,19.105,18.815,42.82K,-0.63%
"Aug 23, 2022",19.026,18.885,19.155,18.65,52.28K,0.78%
"Aug 22, 2022",18.878,18.97,19.065,18.605,55.52K,-1.00%
"Aug 19, 2022",19.069,19.47,19.48,18.925,55.57K,-2.03%
"Aug 18, 2022",19.464,19.74,19.885,19.41,46.16K,-1.35%
"Aug 17, 2022",19.731,20.105,20.24,19.63,49.57K,-1.76%
"Aug 16, 2022",20.085,20.23,20.25,19.86,41.92K,-0.92%
"Aug 15, 2022",20.272,20.805,20.87,20.02,55.09K,-2.06%
"Aug 12, 2022",20.698,20.26,20.85,20.19,46.59K,1.72%
"Aug 11, 2022",20.349,20.575,20.605,20.19,56.53K,-1.89%
"Aug 10, 2022",20.742,20.5,20.83,20.315,65.02K,1.27%
"Aug 09, 2022",20.482,20.695,20.74,20.4,53.85K,-0.64%
"Aug 08, 2022",20.614,19.84,20.745,19.745,68.07K,3.89%
"Aug 05, 2022",19.842,20.16,20.28,19.47,62.13K,-1.39%
"Aug 04, 2022",20.122,20.045,20.38,19.93,49.82K,1.15%
"Aug 03, 2022",19.894,19.955,20.14,19.75,47.27K,-1.22%
"Aug 02, 2022",20.139,20.34,20.495,19.915,64.54K,-1.10%
"Aug 01, 2022",20.362,20.335,20.51,20.065,58.52K,0.82%
"Jul 29, 2022",20.197,19.99,20.35,19.825,64.59K,1.66%
"Jul 28, 2022",19.868,19.05,20,19.01,86.52K,6.82%
"Jul 27, 2022",18.6,18.535,19.095,18.36,62.26K,0.35%
"Jul 26, 2022",18.535,18.33,18.62,18.285,40.82K,1.13%
"Jul 25, 2022",18.328,18.54,18.675,18.195,43.12K,-1.55%
"Jul 22, 2022",18.617,18.785,18.88,18.42,47.28K,-0.54%
"Jul 21, 2022",18.719,18.61,18.805,18.12,58.42K,0.27%
"Jul 20, 2022",18.668,18.695,19.03,18.565,42.47K,-0.24%
"Jul 19, 2022",18.713,18.655,18.845,18.51,36.80K,-0.67%
"Jul 18, 2022",18.84,18.675,18.95,18.585,42.25K,1.32%
"Jul 15, 2022",18.594,18.335,18.695,18.095,53.07K,2.02%
"Jul 14, 2022",18.225,19.18,19.18,18.01,82.27K,-5.05%
"Jul 13, 2022",19.194,18.87,19.36,18.79,63.75K,1.24%
"Jul 12, 2022",18.958,19.055,19.135,18.63,53.27K,-0.91%
"Jul 11, 2022",19.132,19.265,19.31,19.015,38.60K,-0.54%
"Jul 08, 2022",19.236,19.17,19.39,18.935,43.11K,0.25%
"Jul 07, 2022",19.188,19.17,19.435,19.035,42.48K,0.15%
"Jul 06, 2022",19.159,19.155,19.325,18.705,66.25K,0.20%
"Jul 04, 2022",19.121,19.88,20.1,18.97,85.00K,-2.78%
"Jul 01, 2022",19.667,20.29,20.29,19.295,75.67K,-3.37%
"Jun 30, 2022",20.352,20.725,20.785,20.145,61.10K,-1.86%
"Jun 29, 2022",20.738,20.84,21.065,20.61,53.00K,-0.33%
"Jun 28, 2022",20.806,21.17,21.355,20.72,42.01K,-1.71%
"Jun 27, 2022",21.168,21.2,21.535,21.08,48.09K,0.20%
"Jun 24, 2022",21.125,20.92,21.205,20.545,72.54K,0.39%
"Jun 23, 2022",21.042,21.42,21.495,20.89,71.94K,-1.77%
"Jun 22, 2022",21.421,21.67,21.675,21.205,55.92K,-1.59%
"Jun 20, 2022",21.768,21.52,21.95,21.43,64.99K,0.84%
"Jun 17, 2022",21.587,21.955,21.965,21.56,43.90K,-1.36%
"Jun 16, 2022",21.885,21.68,21.97,21.32,52.32K,2.17%
"Jun 15, 2022",21.42,21.01,21.845,20.97,70.54K,2.22%
"Jun 14, 2022",20.954,21.07,21.36,20.845,59.21K,-1.42%
"Jun 13, 2022",21.255,22.01,22.04,20.91,88.96K,-3.08%
"Jun 10, 2022",21.931,21.715,22.02,21.235,78.78K,0.52%
"Jun 09, 2022",21.817,22.085,22.165,21.535,63.62K,-1.25%
"Jun 08, 2022",22.094,22.275,22.275,21.795,44.94K,-0.38%
"Jun 07, 2022",22.178,22.085,22.3,21.84,51.45K,0.39%
"Jun 06, 2022",22.092,21.945,22.565,21.9,48.16K,0.84%
"Jun 03, 2022",21.908,22.355,22.525,21.86,37.47K,-1.65%
"Jun 02, 2022",22.275,21.86,22.38,21.785,35.94K,1.64%
"Jun 01, 2022",21.915,21.535,21.995,21.41,51.15K,1.05%
"May 30, 2022",21.688,22.15,22.31,21.455,67.95K,-1.85%
"May 27, 2022",22.096,22.035,22.475,21.94,38.41K,0.60%
"May 26, 2022",21.965,21.975,22.075,21.73,29.70K,0.43%
"May 25, 2022",21.87,22.115,22.145,21.725,32.08K,-0.87%
"May 24, 2022",22.063,21.77,22.215,21.645,36.83K,1.57%
"May 23, 2022",21.723,21.78,22.205,21.66,41.17K,0.23%
"May 20, 2022",21.674,21.965,22.08,21.58,34.79K,-1.07%
"May 19, 2022",21.908,21.43,22.01,21.25,41.28K,1.69%
"May 18, 2022",21.544,21.665,21.75,21.365,33.87K,-0.95%
"May 17, 2022",21.75,21.65,21.925,21.52,39.23K,0.92%
"May 16, 2022",21.551,21.105,21.71,20.835,46.63K,2.62%
"May 13, 2022",21.001,20.635,21.125,20.42,58.68K,1.10%
"May 12, 2022",20.773,21.555,21.625,20.59,82.00K,-3.72%
"May 11, 2022",21.575,21.21,21.97,21.2,80.77K,0.70%
"May 10, 2022",21.424,21.77,22.085,21.155,78.50K,-1.81%
"May 09, 2022",21.82,22.395,22.395,21.65,80.20K,-2.45%
"May 06, 2022",22.367,22.52,22.665,22.11,59.54K,-0.34%
"May 05, 2022",22.443,23.04,23.345,22.325,71.88K,0.18%
"May 04, 2022",22.402,22.6,23.125,22.22,58.06K,-1.16%
"May 03, 2022",22.665,22.7,22.89,22.44,43.73K,0.36%
"May 02, 2022",22.584,22.785,22.88,22.13,56.21K,-2.17%
"Apr 29, 2022",23.085,23.23,23.65,22.71,55.33K,-0.41%
"Apr 28, 2022",23.181,23.365,23.455,22.94,57.59K,-1.19%
"Apr 27, 2022",23.46,23.59,23.765,23.275,37.58K,-0.36%
"Apr 26, 2022",23.544,23.705,23.975,23.445,45.15K,-0.53%
"Apr 25, 2022",23.67,24.215,24.24,23.42,63.92K,-2.43%
"Apr 22, 2022",24.259,24.72,24.74,24.08,65.63K,-1.47%
"Apr 21, 2022",24.621,25.305,25.31,24.48,69.61K,-2.57%
"Apr 20, 2022",25.271,25.315,25.4,24.98,44.95K,-0.47%
"Apr 19, 2022",25.391,26.055,26.195,25.165,65.30K,-2.90%
"Apr 18, 2022",26.15,25.875,26.495,25.805,52.50K,1.75%
"Apr 14, 2022",25.7,25.955,26.115,25.46,51.61K,-1.27%
"Apr 13, 2022",26.03,25.585,26.07,25.53,62.66K,1.15%
"Apr 12, 2022",25.735,25.255,25.84,25.025,74.87K,2.99%
"Apr 11, 2022",24.987,24.925,25.6,24.795,76.96K,0.66%
"Apr 08, 2022",24.823,24.725,24.935,24.495,50.94K,0.36%
"Apr 07, 2022",24.735,24.57,24.78,24.335,48.61K,1.13%
"Apr 06, 2022",24.458,24.465,24.68,24.2,47.18K,-0.31%
"Apr 05, 2022",24.534,24.665,25.11,24.355,49.22K,-0.23%
"Apr 04, 2022",24.59,24.735,25.005,24.385,41.51K,-0.26%
"Apr 01, 2022",24.654,24.99,25.04,24.565,44.25K,-1.91%
"Mar 31, 2022",25.133,25.035,25.285,24.67,36.61K,0.08%
"Mar 30, 2022",25.113,24.92,25.265,24.855,38.79K,1.52%
"Mar 29, 2022",24.736,25.01,25.135,24.045,76.19K,-1.83%
"Mar 28, 2022",25.196,25.725,25.795,24.94,46.26K,-1.64%
"Mar 25, 2022",25.615,25.85,26.035,25.47,37.91K,-1.18%
"Mar 24, 2022",25.92,25.285,26.16,25.17,61.00K,2.90%
"Mar 23, 2022",25.189,24.915,25.37,24.78,34.15K,1.14%
"Mar 22, 2022",24.904,25.41,25.59,24.695,45.76K,-1.62%
"Mar 21, 2022",25.313,25.15,25.52,25.05,34.84K,0.90%
"Mar 18, 2022",25.087,25.595,25.64,24.98,38.06K,-2.07%
"Mar 17, 2022",25.616,25.24,25.75,25.165,40.14K,3.67%
"Mar 16, 2022",24.71,25.115,25.25,24.55,46.30K,-1.78%
"Mar 15, 2022",25.158,25.26,25.315,24.75,47.79K,-0.55%
"Mar 14, 2022",25.298,26.28,26.29,25.16,52.36K,-3.30%
"Mar 11, 2022",26.16,26.255,26.35,25.695,51.55K,-0.37%
"Mar 10, 2022",26.256,26.06,26.425,25.6,55.85K,1.70%
"Mar 09, 2022",25.816,26.925,27.39,25.73,87.11K,-4.01%
"Mar 08, 2022",26.895,25.805,27.495,25.55,127.21K,4.57%
"Mar 07, 2022",25.72,26.025,26.37,25.465,81.50K,-0.27%
"Mar 04, 2022",25.789,25.285,25.92,25.155,70.86K,2.29%
"Mar 03, 2022",25.212,25.45,25.665,25.075,57.47K,0.09%
"Mar 02, 2022",25.19,25.505,25.545,24.96,69.47K,-1.37%
"Mar 01, 2022",25.541,24.455,25.65,24.345,68.56K,4.82%
"Feb 28, 2022",24.366,24.62,24.88,24.155,55.28K,1.45%
"Feb 25, 2022",24.017,24.33,24.55,23.92,67.32K,-2.71%
"Feb 24, 2022",24.687,24.61,25.67,23.86,107.56K,0.55%
"Feb 23, 2022",24.553,24.145,24.62,24.05,62.69K,1.00%
"Feb 21, 2022",24.311,24.06,24.385,23.71,96.22K,1.33%
"Feb 18, 2022",23.992,23.855,24.115,23.7,52.87K,0.49%
"Feb 17, 2022",23.875,23.645,23.93,23.44,60.05K,1.14%
"Feb 16, 2022",23.605,23.38,23.67,23.29,47.87K,1.13%
"Feb 15, 2022",23.342,23.885,24.015,23.07,61.87K,-2.12%
"Feb 14, 2022",23.848,23.6,23.965,23.555,57.09K,2.05%
